성별,출연 프로그램,시즌,방영 시작 날짜,방영 종료 날짜,시청률,방송편수,OTT 방영 여부(후행적?),출생년도,방영당시 나이,출연자 평균 연령,MBTI,메기여부,커플 성사 여부,직업분류,직업분류코드,외모(Face score),외모(Fun),외모(Smartness),외모(Confidence),외모(Trustworthiness),외모(Attractiveness),외모(Approachability),계산된_동성_출연자_수,계산된_이성_출연자_수,동성 출연자 수 일치 여부,이성 출연자 수 일치 여부,계산된 방영당시 나이,나이 차이,프로그램_시즌,출연자방영후30일평균검색량,출연자방영후14일평균검색량,출연자방영전후30일총검색량,출연자방영전후14일총검색량,프로그램방영후30일평균검색량,프로그램방영후14일평균검색량,프로그램방영전후30일총검색량,프로그램방영전후14일총검색량,방영 기간 (일),방송 종료 m일 후 팔로워 (total followers daily),출연자 댓글수_프로그램 총 댓글 수,pos_result의 평균,neg_result의 평균,출연자 pos_result 1의 비율,출연자 neg_result 0의 비율,1화,2화,3화,4화
여,솔로지옥,3,2023-12-12,2024-01-09,,11,TRUE,1998,26,28.83333333,ENFJ,FALSE,TRUE,,,84,67,63,55,57,100,92,5,6,FALSE,FALSE,25,1,솔로지옥3,489.3548387,410.6666667,15170,6160,14327.74194,14086.66667,493650,242740,28,540106,0.052165354,38.42503488,61.57496512,0.358490566,0.641509434,0,0,0,0
남,좋아하면 울리는 짝짝짝,,2022-12-09,2023-02-03,,13,TRUE,1994,29,26.36363636,,,FALSE,"스포츠 지도사, 방송 및 통신 기술 전문가","3422, 2642",84,54,71,73,75,100,86,4,6,TRUE,FALSE,28,1,좋아하면울리는짝짝짝,,,,,2760.645161,3160.666667,95040,55710,56,196448.497,0.045454546,50.58194429,49.41805571,0.4,0.6,0,0,0,0
여,솔로지옥,1,2021-12-18,2022-01-08,,8,TRUE,1995,27,28,ENFP,FALSE,TRUE,"스포츠 지도사, 예술가 및 연예인","3422, 2453",82,84,76,84,52,70,80,5,6,TRUE,TRUE,26,1,솔로지옥1,2101.290323,1707.333333,65140,25610,135870.9677,133506.6667,4235010,2018100,21,1190973,0.012625163,62.05146349,37.94853651,0.689655172,0.310344828,0,0,0,0
남,좋아하면 울리는 짝짝짝,,2022-12-09,2023-02-03,,13,TRUE,1994,29,26.36363636,,,FALSE,예술가 및 연예인,2454,80,58,58,69,73,93,96,4,6,TRUE,FALSE,28,1,좋아하면울리는짝짝짝,,,,,2760.645161,3160.666667,95040,55710,56,89399.42225,0.005913661,44.60964821,55.39035179,0.5,0.5,0,0,0,0
남,사내연애,,2022-11-11,2023-01-06,,10,TRUE,1997,26,27.875,ENFJ,FALSE,TRUE,"예술가 및 연예인, 방송 및 통신 기술 전문가","2452, 2642",81,95,78,90,58,75,89,5,7,FALSE,FALSE,25,1,사내연애,,,,,4278.387097,4831.333333,164870,89050,56,37008,0.06993007,42.91245691,57.08754309,0.5,0.5,0,1,0,0
남,남의연애,2,2023-06-23,2023-08-04,,14,TRUE,1998,26,29,ESTP,FALSE,TRUE,,,88,58,97,96,74,97,87,7,0,FALSE,FALSE,25,1,남의연애2,,,,,1893.870968,2204.666667,70430,39060,42,83565,0.014647137,65.82961326,34.17038674,0.727272727,0.272727273,0,0,0,0
남,19/20,,2023-07-11,2023-08-01,,13,TRUE,2004,20,20,ENFP,FALSE,FALSE,,,80,58,97,52,75,98,63,4,5,FALSE,FALSE,19,1,19/20,,,,,10443.54839,8478.666667,338000,136710,21,92320,0.01010101,73.39087486,26.60912514,1,0,0,0,0,0
남,솔로지옥,1,2021-12-18,2022-01-08,,8,TRUE,1992,30,28,ENFJ,FALSE,TRUE,경영 및 행정 관리자,1111,82,81,53,64,74,100,51,5,6,TRUE,TRUE,29,1,솔로지옥1,1424.516129,1432.666667,44160,21490,135870.9677,133506.6667,4235010,2018100,21,519842,0.039616892,37.47992465,62.52007535,0.32967033,0.67032967,0,0,0,0
남,남의연애,2,2023-06-23,2023-08-04,,14,TRUE,1990,34,29,ENFJ,FALSE,FALSE,,,84,65,57,64,72,100,92,7,0,FALSE,FALSE,33,1,남의연애2,77.41935484,87.33333333,2400,1310,1893.870968,2204.666667,70430,39060,42,88447,0.001213592,46.05399482,53.94600518,0.5,0.5,1,0,0,0
여,솔로지옥,3,2023-12-12,2024-01-09,,11,TRUE,1997,27,28.83333333,ESFJ,FALSE,TRUE,예술가 및 연예인,2453,84,80,84,88,50,78,75,5,6,TRUE,TRUE,26,1,솔로지옥3,347.0967742,347.3333333,10940,5350,14327.74194,14086.66667,493650,242740,28,1199662,0.027559055,53.67843008,46.32156992,0.523809524,0.476190476,0,0,0,0
여,하트시그널,4,2023-05-17,2023-08-25,,15,TRUE,1998,26,30.5,ISFP,TRUE,TRUE,예술가 및 연예인,2453,82,67,72,72,55,68,89,3,4,TRUE,TRUE,25,1,하트시그널4,22.90322581,0,710,0,16551.93548,18738.66667,605280,337690,100,,0,0,0,0,0,0,0,0,0
남,환승연애,1,2021-06-25,2021-10-01,,15,TRUE,1992,30,27.1,,FALSE,FALSE,학생,9999,91,72,64,98,89,99,98,4,5,TRUE,TRUE,29,1,환승연애1,560.6451613,646.6666667,17380,9700,49429.03226,41480,1590950,671460,98,85225,0,0,0,0,0,1,1,0,0
남,러브캐처,3,2021-11-19,2022-01-07,,8,TRUE,1990,32,27.4,INFJ,FALSE,,,,82,75,67,54,91,77,71,0,0,FALSE,FALSE,31,1,러브캐처3,226.4516129,152,7020,2280,3113.548387,2722,107250,47890,49,38842.36709,0.091653866,64.8330715,35.1669285,0.709497207,0.290502793,0,0,1,0
남,솔로지옥,3,2023-12-12,2024-01-09,,11,TRUE,1993,31,28.83333333,INFJ,FALSE,FALSE,,,78,63,52,70,75,99,53,5,6,FALSE,FALSE,30,1,솔로지옥3,348.0645161,262,10790,3930,14327.74194,14086.66667,493650,242740,28,340187,0.040706848,34.96842481,65.03157519,0.333333333,0.666666667,0,0,0,1
여,솔로지옥,3,2023-12-12,2024-01-09,,11,TRUE,1998,26,28.83333333,ISTP,FALSE,FALSE,사무 종사자,4110,80,70,77,79,50,63,77,5,6,TRUE,TRUE,25,1,솔로지옥3,716.7741935,960.6666667,22240,14430,14327.74194,14086.66667,493650,242740,28,1137878,0.147463995,63.68176348,36.31823652,0.670912951,0.329087049,0,0,0,0
남,솔로지옥,3,2023-12-12,2024-01-09,,11,TRUE,1988,36,28.83333333,INTJ,FALSE,TRUE,스포츠 선수,3421,84,71,98,76,74,96,79,5,6,TRUE,TRUE,35,1,솔로지옥3,936.4516129,1090,33140,19120,14327.74194,14086.66667,493650,242740,28,861136,0.201149425,48.11048826,51.88951174,0.457142857,0.542857143,0,0,0,0
여,솔로지옥,2,2022-12-13,2023-01-10,,10,TRUE,2000,23,26.58333333,,FALSE,FALSE,,,79,67,75,78,50,50,61,5,6,FALSE,FALSE,22,1,솔로지옥2,370.6451613,376,11510,5660,13451.29032,12476.66667,474190,214500,28,1468307,0.070643642,53.0710303,46.9289697,0.511111111,0.488888889,0,0,0,0
여,환승연애,2,2022-07-15,2022-10-28,,20,TRUE,1996,27,26.2,ESFP,FALSE,TRUE,,,81,79,59,59,53,92,91,4,5,FALSE,FALSE,26,1,환승연애2,383.5483871,240,11960,3660,16132.90323,15828,628290,299350,105,732121,0,0,0,0,0,0,0,0,1
여,환승연애,3,2023-12-29,2024-04-19,,20,TRUE,1993,31,29.08333333,INFJ,FALSE,FALSE,,,81,54,75,58,63,77,65,5,6,FALSE,FALSE,30,1,환승연애3,158.7096774,209.3333333,4920,3140,10079.35484,12714,423370,258450,112,217915,0,0,0,0,0,0,0,0,0
여,솔로지옥,2,2022-12-13,2023-01-10,,10,TRUE,2000,23,26.58333333,,FALSE,TRUE,,,85,75,86,92,52,94,88,5,6,FALSE,FALSE,22,1,솔로지옥2,,,,,13451.29032,12476.66667,474190,214500,28,,0.000427899,38.02192211,61.97807789,0,1,0,0,0,0
남,연애남매,,2024-03-01,2024-06-14,1.6,17,TRUE,1990,35,31.7,ENTJ,FALSE,TRUE,,,77,58,100,64,64,99,53,4,5,FALSE,FALSE,34,1,연애남매,350.6451613,401.3333333,10870,6020,49345.16129,51326.66667,1606430,824550,105,97081,0,0,0,0,0,1,0,0,0
여,러브캐처,4,2022-11-18,2023-01-13,,8,TRUE,1997,26,26.6,,FALSE,,"교육 전문가, 예술가 및 연예인","2311, 2459",84,85,77,83,54,97,85,4,5,TRUE,TRUE,25,1,러브캐처4,790.3225806,1114,24540,16750,8196.774194,11025.33333,301380,200580,56,59374,0.025316456,50.7260263,49.2739737,0.5,0.5,1,0,0,0
여,환승연애,3,2023-12-29,2024-04-19,,20,TRUE,1998,26,29.08333333,ESTJ,FALSE,TRUE,예술가 및 연예인,2453,84,88,66,56,66,79,98,5,6,TRUE,TRUE,25,1,환승연애3,380.6451613,513.3333333,13580,9210,10079.35484,12714,423370,258450,112,518010,0,0,0,0,0,0,0,0,0
남,남의연애,1,2022-07-15,2022-08-26,,11,TRUE,2002,21,29.5,,FALSE,TRUE,,,82,61,88,95,66,100,74,7,0,FALSE,FALSE,20,1,남의연애1,149.3548387,111.3333333,4630,1670,15919.03226,21586.66667,570360,386300,42,178003,0.2,60.25595859,39.74404141,0.583333333,0.416666667,0,0,1,0
남,남의연애,1,2022-07-15,2022-08-26,,11,TRUE,1992,31,29.5,,TRUE,TRUE,,,80,69,60,94,71,68,90,7,0,FALSE,FALSE,30,1,남의연애1,,,,,15919.03226,21586.66667,570360,386300,42,87915,0.025618375,60.24838396,39.75161604,0.586206897,0.413793103,0,0,0,0
남,펫미픽미,,2022-10-21,2022-11-11,0.8,4,FALSE,1991,32,28.75,,FALSE,TRUE,"예술가 및 연예인, 방송 및 통신 기술 전문가","2453, 2642",82,60,52,51,67,97,95,3,4,TRUE,TRUE,31,1,펫미픽미,,,,,2782.258065,3884,99380,68530,21,16553,0,0,0,0,0,0,0,0,0
여,하트시그널,4,2023-05-17,2023-08-25,,15,TRUE,1994,30,30.5,ENFJ,FALSE,FALSE,법률 전문가,2211,79,57,61,74,50,90,67,3,4,TRUE,TRUE,29,1,하트시그널4,2349.354839,3074,74840,47310,16551.93548,18738.66667,605280,337690,100,221277,0.001960784,69.70536709,30.29463291,1,0,0,0,0,0
여,연애남매,,2024-03-01,2024-06-14,1.6,17,TRUE,1999,26,31.7,ESFJ,FALSE,FALSE,,,77,73,57,69,71,52,53,4,5,FALSE,FALSE,25,1,연애남매,64.51612903,38,2000,570,49345.16129,51326.66667,1606430,824550,105,100648,0,0,0,0,0,0,0,0,0
남,환승연애,3,2023-12-29,2024-04-19,,20,TRUE,1994,30,29.08333333,ENFP,FALSE,FALSE,,,84,86,83,85,71,89,86,5,6,FALSE,FALSE,29,1,환승연애3,210,258,6510,3870,10079.35484,12714,423370,258450,112,338096,0,0,0,0,0,0,0,0,0
남,남의연애,2,2023-06-23,2023-08-04,,14,TRUE,1995,29,29,ISFP,FALSE,TRUE,,,84,51,76,96,69,100,93,7,0,FALSE,FALSE,28,1,남의연애2,,,,,1893.870968,2204.666667,70430,39060,42,288644,0.320652174,65.21699535,34.78300465,0.673728814,0.326271186,0,1,0,0
남,19/20,,2023-07-11,2023-08-01,,13,TRUE,2004,20,20,ESTP,FALSE,TRUE,,,87,81,88,94,75,100,84,4,5,FALSE,FALSE,19,1,19/20,,,,,10443.54839,8478.666667,338000,136710,21,177941,0.023214286,46.13192485,53.86807515,0.461538462,0.538461538,0,0,0,0
여,환승연애,2,2022-07-15,2022-10-28,,20,TRUE,2001,22,26.2,ESTP,FALSE,FALSE,,,80,70,77,71,51,85,68,4,5,FALSE,FALSE,21,1,환승연애2,273.5483871,226,8510,3410,16132.90323,15828,628290,299350,105,235043,0,0,0,0,0,0,0,1,0
남,솔로지옥,3,2023-12-12,2024-01-09,,11,TRUE,1993,31,28.83333333,INFJ,FALSE,TRUE,,,81,52,100,78,78,92,84,5,6,FALSE,FALSE,30,1,솔로지옥3,487.7419355,619.3333333,15120,9290,14327.74194,14086.66667,493650,242740,28,789732,0.083907326,58.03086008,41.96913992,0.585820896,0.414179104,0,0,0,0
여,환승연애,1,2021-06-25,2021-10-01,,15,TRUE,1998,24,27.1,ENFP,FALSE,FALSE,방송 및 통신 기술 전문가,2642,84,93,56,71,95,98,77,4,5,TRUE,TRUE,23,1,환승연애1,443.2258065,437.3333333,13740,6560,49429.03226,41480,1590950,671460,98,375947,0,0,0,0,0,0,0,0,0
여,러브캐처,3,2021-11-19,2022-01-07,,8,TRUE,1995,27,27.4,INFP,FALSE,,,,80,53,58,98,51,52,92,4,0,FALSE,FALSE,26,1,러브캐처3,703.2258065,630.6666667,21800,9460,3113.548387,2722,107250,47890,49,55980,0.002610966,74.81872439,25.18127561,1,0,1,1,0,1
남,사내연애,,2022-11-11,2023-01-06,,10,TRUE,1993,30,27.875,,FALSE,TRUE,예술가 및 연예인,2454,78,55,63,66,73,97,66,5,7,FALSE,FALSE,29,1,사내연애,,,,,4278.387097,4831.333333,164870,89050,56,26526,0.006993007,44.66109574,55.33890426,0,1,0,0,0,0
여,환승연애,3,2023-12-29,2024-04-19,,20,TRUE,1997,27,29.08333333,INFJ,FALSE,TRUE,,,86,82,51,70,59,81,98,5,6,FALSE,FALSE,26,1,환승연애3,108.3870968,152.6666667,3360,2290,10079.35484,12714,423370,258450,112,232536,0,0,0,0,0,0,0,0,0
남,하트시그널,4,2023-05-17,2023-08-25,,15,TRUE,1993,31,30.5,ENFP,TRUE,FALSE,,,84,88,60,97,61,99,77,3,4,FALSE,FALSE,30,1,하트시그널4,,,,,16551.93548,18738.66667,605280,337690,100,568.4333333,0,0,0,0,0,0,0,0,0
여,솔로지옥,2,2022-12-13,2023-01-10,,10,TRUE,1997,26,26.58333333,,TRUE,FALSE,,,79,72,71,87,50,58,77,5,6,FALSE,FALSE,25,1,솔로지옥2,523.2258065,49.33333333,16220,740,13451.29032,12476.66667,474190,214500,28,134285,0.014012739,34.94805963,65.05194037,0.297520661,0.702479339,0,0,0,0
남,19/20,,2023-07-11,2023-08-01,,13,TRUE,2004,20,20,ISTP,FALSE,TRUE,,,79,56,53,59,66,86,88,4,5,FALSE,FALSE,19,1,19/20,,,,,10443.54839,8478.666667,338000,136710,21,241678,0.199404762,50.37621011,49.62378989,0.432835821,0.567164179,0,0,0,0
남,하트시그널,3,2020-03-25,2020-07-15,,16,TRUE,1989,32,28.75,ISFJ,FALSE,TRUE,,,85,71,95,63,74,97,93,3,4,FALSE,FALSE,31,1,하트시그널3,,,,,,,,,112,192011,0.016666667,90.62044024,9.379559755,1,0,0,0,0,0
남,남의연애,2,2023-06-23,2023-08-04,,14,TRUE,1993,31,29,INFJ,TRUE,FALSE,,,80,58,53,53,72,99,91,7,0,FALSE,FALSE,30,1,남의연애2,,,,,1893.870968,2204.666667,70430,39060,42,91211,0.013586957,62.90486112,37.09513888,0.7,0.3,0,0,0,1
남,남의연애,1,2022-07-15,2022-08-26,,11,TRUE,1995,28,29.5,ISFP,FALSE,FALSE,,,88,84,67,67,69,100,94,7,0,FALSE,FALSE,27,1,남의연애1,34.83870968,40,1080,600,15919.03226,21586.66667,570360,386300,42,77069,0.028708134,67.03241412,32.96758588,0.75,0.25,0,0,0,1
여,사내연애,,2022-11-11,2023-01-06,,10,TRUE,1999,24,27.875,,FALSE,TRUE,"예술가 및 연예인, 예술가 및 연예인","2453, 2454",86,81,81,64,50,94,89,6,6,FALSE,FALSE,23,1,사내연애,,,,,4278.387097,4831.333333,164870,89050,56,4575,0.017094017,37.13683635,62.86316365,0.5,0.5,0,0,0,0
여,러브캐처,3,2021-11-19,2022-01-07,,8,TRUE,1994,28,27.4,INFP,TRUE,,,,80,60,81,59,53,84,61,4,0,FALSE,FALSE,27,1,러브캐처3,1145.16129,690.6666667,35500,10360,3113.548387,2722,107250,47890,49,72248,0.001450326,15.7476956,84.2523044,0,1,0,0,1,0
여,좋아하면 울리는 짝짝짝,,2022-12-09,2023-02-03,,13,TRUE,1993,30,26.36363636,,,TRUE,,,81,57,63,60,64,100,84,5,5,FALSE,FALSE,29,1,좋아하면울리는짝짝짝,,,,,2760.645161,3160.666667,95040,55710,56,135255,0.174757282,55.30119737,44.69880263,1,0,1,0,0,0
남,하트시그널,3,2020-03-25,2020-07-15,,16,TRUE,1992,29,28.75,INFJ,FALSE,FALSE,예술가 및 연예인,2456,82,79,84,67,73,98,86,3,4,TRUE,TRUE,28,1,하트시그널3,,,,,,,,,112,189150,0.108108108,63.73779774,36.26220226,0.555555556,0.444444444,0,1,1,0
남,좋아하면 울리는 짝짝짝,,2022-12-09,2023-02-03,,13,TRUE,1999,24,26.36363636,,,FALSE,,,82,56,82,65,68,98,80,4,6,FALSE,FALSE,23,1,좋아하면울리는짝짝짝,,,,,2760.645161,3160.666667,95040,55710,56,76901,0.113636364,56.58557411,43.41442589,0.6,0.4,0,0,0,0
여,19/20,,2023-07-11,2023-08-01,,13,TRUE,2004,20,20,ISFP,TRUE,TRUE,,,86,55,83,84,75,96,93,4,5,FALSE,FALSE,19,1,19/20,,,,,10443.54839,8478.666667,338000,136710,21,256354,0.157142857,48.04366927,51.95633073,0.443181818,0.556818182,0,0,0,0
남,환승연애,2,2022-07-15,2022-10-28,,20,TRUE,1998,25,26.2,ESTJ,TRUE,TRUE,,,83,70,87,66,83,94,81,4,5,FALSE,FALSE,24,1,환승연애2,0,0,0,0,16132.90323,15828,628290,299350,105,786568,0,0,0,0,0,0,0,0,0
여,환승연애,1,2021-06-25,2021-10-01,,15,TRUE,1994,28,27.1,ISFP,TRUE,FALSE,,,81,75,50,51,54,95,82,4,5,FALSE,FALSE,27,1,환승연애1,0,0,0,0,49429.03226,41480,1590950,671460,98,125180,0,0,0,0,0,0,0,0,0
남,남의연애,3,2024-06-21,2024-08-02,,14,TRUE,2000,25,26.125,ENFJ,TRUE,TRUE,,,84,72,86,94,73,84,77,7,0,FALSE,FALSE,24,1,남의연애3,12.90322581,21.33333333,400,320,2064.83871,2756.666667,73560,48140,42,23542,0.088145897,51.07997696,48.92002304,0.517241379,0.482758621,0,0,0,0
여,솔로지옥,3,2023-12-12,2024-01-09,,11,TRUE,1998,26,28.83333333,ESFJ,TRUE,FALSE,,,88,89,95,75,53,96,84,5,6,FALSE,FALSE,25,1,솔로지옥3,719.6774194,491.3333333,22310,7370,14327.74194,14086.66667,493650,242740,28,271279,0.026095855,61.71504046,38.28495954,0.666666667,0.333333333,0,0,0,0
남,러브캐처,4,2022-11-18,2023-01-13,,8,TRUE,1995,28,26.6,,FALSE,,"예술가 및 연예인, 예술가 및 연예인","2453, 2455",86,71,91,77,75,100,89,4,5,TRUE,TRUE,27,1,러브캐처4,,,,,8196.774194,11025.33333,301380,200580,56,14186.79778,0.013977128,28.18054364,71.81945636,0.272727273,0.727272727,1,0,0,0
남,남의연애,3,2024-06-21,2024-08-02,,14,TRUE,1992,33,26.125,ESTP,FALSE,TRUE,경영 및 행정 관리자,1112,84,98,76,99,57,98,94,7,0,TRUE,TRUE,32,1,남의연애3,56.12903226,76.66666667,1740,1150,2064.83871,2756.666667,73560,48140,42,127603,0.107902736,63.34986254,36.65013746,0.704225352,0.295774648,0,0,0,0
남,솔로지옥,1,2021-12-18,2022-01-08,,8,TRUE,1991,31,28,INFP,TRUE,FALSE,예술가 및 연예인,2454,78,56,54,54,66,100,88,5,6,TRUE,TRUE,30,1,솔로지옥1,2738.064516,1542.666667,84880,23140,135870.9677,133506.6667,4235010,2018100,21,1148210,0.066666667,4.178516939,95.82148306,0,1,0,0,0,0
남,솔로지옥,3,2023-12-12,2024-01-09,,11,TRUE,2000,24,28.83333333,ISFP,FALSE,TRUE,,,79,50,73,52,69,100,70,5,6,FALSE,FALSE,23,1,솔로지옥3,355.8064516,328.6666667,11030,4930,14327.74194,14086.66667,493650,242740,28,570533,0.027593085,57.34125829,42.65874171,0.578313253,0.421686747,0,0,0,0
여,솔로지옥,2,2022-12-13,2023-01-10,,10,TRUE,1995,28,26.58333333,,FALSE,TRUE,예술가 및 연예인,2456,87,75,79,85,50,78,75,5,6,TRUE,TRUE,27,1,솔로지옥2,518.3870968,500.6666667,16070,7510,13451.29032,12476.66667,474190,214500,28,1110339,0.053375196,60.5925453,39.4074547,0.676470588,0.323529412,0,0,0,0
여,19/20,,2023-07-11,2023-08-01,,13,TRUE,2004,20,20,ESTP,FALSE,FALSE,학생,9999,81,75,89,74,51,73,75,4,5,TRUE,TRUE,19,1,19/20,,,,,10443.54839,8478.666667,338000,136710,21,170521,0.021885522,70.27761811,29.72238189,0.846153846,0.153846154,0,0,0,0
여,좋아하면 울리는 짝짝짝,,2022-12-09,2023-02-03,,13,TRUE,1997,26,26.36363636,INFJ,,FALSE,,,80,63,83,68,51,77,81,5,5,FALSE,FALSE,25,1,좋아하면울리는짝짝짝,,,,,2760.645161,3160.666667,95040,55710,56,204971,0.172413793,47.32294773,52.67705227,0.4,0.6,0,0,0,0
남,솔로지옥,1,2021-12-18,2022-01-08,,8,TRUE,1991,31,28,ENTJ,FALSE,FALSE,"경영 및 행정 관리자, 예술가 및 연예인","1111, 2454",81,56,51,78,74,99,77,5,6,TRUE,TRUE,30,1,솔로지옥1,894.8387097,822,27740,12330,135870.9677,133506.6667,4235010,2018100,21,964953,0.119721376,60.24940638,39.75059362,0.64,0.36,0,0,0,0
여,19/20,,2023-07-11,2023-08-01,,13,TRUE,2004,20,20,ISTP,FALSE,TRUE,,,88,76,79,62,50,99,90,4,5,FALSE,FALSE,19,1,19/20,,,,,10443.54839,8478.666667,338000,136710,21,283484,0.094017094,56.76602728,43.23397272,0.575757576,0.424242424,0,0,1,0
여,체인지데이즈,2,2022-06-02,2022-09-15,,16,TRUE,1998,25,27,ISTP,FALSE,FALSE,,,77,58,56,70,50,99,66,3,4,FALSE,FALSE,24,1,체인지데이즈2,535.483871,622.6666667,16600,9340,6138.709677,7034,221410,124490,105,59487,0.111111111,1.13393683,98.86606317,0,1,0,1,0,0
남,솔로지옥,2,2022-12-13,2023-01-10,,10,TRUE,1998,25,26.58333333,,FALSE,TRUE,,,76,51,52,57,73,97,56,5,6,FALSE,FALSE,24,1,솔로지옥2,386.7741935,202.6666667,11990,3040,13451.29032,12476.66667,474190,214500,28,689335,0.000662471,53.73412818,46.26587182,0.5,0.5,0,1,0,0
남,환승연애,3,2023-12-29,2024-04-19,,20,TRUE,1991,33,29.08333333,ISFP,TRUE,TRUE,,,88,89,100,84,89,95,68,5,6,FALSE,FALSE,32,1,환승연애3,0,0,0,0,10079.35484,12714,423370,258450,112,197227,0,0,0,0,0,0,0,0,0
여,러브캐처,4,2022-11-18,2023-01-13,,8,TRUE,1992,31,26.6,,FALSE,,,,81,76,56,75,55,98,75,4,5,FALSE,FALSE,30,1,러브캐처4,545.1612903,842.6666667,17520,13260,8196.774194,11025.33333,301380,200580,56,114599,0.15501906,63.86550683,36.13449317,0.655737705,0.344262295,0,0,1,0
여,솔로지옥,3,2023-12-12,2024-01-09,,11,TRUE,1998,26,28.83333333,ENFP,FALSE,TRUE,,,80,74,83,75,50,72,74,5,6,FALSE,FALSE,25,1,솔로지옥3,658.7096774,628.6666667,20450,9460,14327.74194,14086.66667,493650,242740,28,1814036,0.041953663,58.2510759,41.7489241,0.619402985,0.380597015,0,0,0,0
여,소년소녀 연애하다,,2023-10-05,2023-11-30,,10,TRUE,2006,18,18.1,ESTP,TRUE,FALSE,,,80,58,65,70,50,95,74,4,5,FALSE,FALSE,17,1,소년소녀연애하다,,,,,6556.774194,8716.666667,235720,154420,56,,0.02417962,54.52222973,45.47777027,0.571428571,0.428571429,0,0,0,0
여,체인지데이즈,2,2022-06-02,2022-09-15,,16,TRUE,1996,27,27,ENFP,FALSE,TRUE,,,82,79,75,74,55,76,69,3,4,FALSE,FALSE,26,1,체인지데이즈2,251.9354839,326,7810,4890,6138.709677,7034,221410,124490,105,69423,0.222222222,1.521666721,98.47833328,0,1,0,0,0,0
남,남의연애,3,2024-06-21,2024-08-02,,14,TRUE,2001,24,26.125,ENFP,FALSE,TRUE,,,81,77,65,88,71,88,88,7,0,FALSE,FALSE,23,1,남의연애3,,,,,2064.83871,2756.666667,73560,48140,42,23363,0.034954407,56.91171528,43.08828472,0.652173913,0.347826087,0,0,0,0